0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 
0 26 49 18 4 3 40 35 8 11 43 34 5 13 29 24 33 10 2 7 21 32 36 45 39 47 41 44 6 9 37 12 38 16 23 1 46 42 15 22 25 30 48 20 17 14 28 19 27 31 
47 45 27 44 15 46 39 13 43 49 30 14 24 35 1 40 26 37 25 22 9 48 0 28 29 12 36 18 19 33 41 42 17 38 4 31 7 3 2 21 23 34 20 10 32 11 5 16 6 8 
36 41 20 8 44 14 22 9 4 25 2 6 48 10 23 40 27 21 31 35 39 33 17 46 28 29 18 11 42 13 30 5 43 16 34 19 0 37 12 1 3 47 45 26 7 32 15 49 38 24 
0 1 25 36 40 47 12 8 15 28 48 19 21 4 46 33 10 6 44 31 13 43 20 14 17 2 22 9 32 41 11 23 38 5 29 3 16 7 35 27 24 49 45 37 26 39 42 30 34 18 
5 35 12 4 47 1 20 25 39 0 7 37 28 6 40 16 42 23 44 10 13 32 36 41 11 2 27 17 14 26 38 18 22 21 33 9 15 3 49 24 19 31 48 45 8 34 30 29 46 43 
6 27 18 24 17 22 28 2 23 43 42 12 14 5 4 13 30 16 49 47 34 41 38 29 40 7 11 32 0 20 9 26 46 15 25 48 1 8 21 3 36 31 45 37 39 44 33 35 19 10 
0 14 24 16 15 20 47 48 42 33 38 49 26 7 32 3 43 19 30 5 2 23 4 28 13 6 1 41 8 35 45 29 44 46 27 31 10 22 34 9 36 12 11 18 17 21 37 40 39 25 
0 18 35 19 28 6 3 10 38 20 7 13 34 15 41 40 47 44 24 48 29 25 23 36 5 49 8 16 17 11 32 12 1 39 31 45 22 42 33 4 27 21 30 46 9 26 2 43 14 37 
28 47 16 48 36 40 21 25 29 2 1 39 41 32 27 37 20 7 42 5 3 46 4 33 11 6 30 8 12 18 26 0 9 44 15 19 24 10 13 35 31 17 34 45 43 14 23 49 22 38 
16 28 45 32 15 1 31 29 44 37 18 27 39 19 10 46 0 13 35 26 48 41 34 12 6 24 17 38 11 7 8 21 49 3 36 30 2 23 25 40 4 9 5 22 14 43 47 42 33 20 
18 0 13 35 20 49 16 48 32 2 30 10 19 9 36 27 46 22 26 15 24 40 44 14 3 4 38 45 7 12 6 11 21 8 29 25 28 34 23 33 39 41 17 31 37 47 42 1 5 43 
45 18 2 33 49 31 37 39 3 35 5 27 1 21 6 25 9 47 4 8 16 40 15 11 19 32 14 24 48 0 34 12 13 42 44 28 10 41 20 38 26 43 46 36 7 29 23 30 22 17 
0 42 20 1 10 36 9 17 2 32 47 35 31 4 25 3 14 23 44 22 5 12 15 46 21 13 38 49 48 34 24 16 40 7 6 19 30 8 11 27 37 43 28 39 26 41 29 33 45 18 
0 20 38 30 11 24 28 39 40 2 44 46 43 23 4 25 36 15 31 22 18 37 48 6 33 17 14 16 12 9 7 35 42 47 19 10 34 27 8 41 32 13 29 21 49 5 3 1 45 26 
0 16 23 40 30 46 39 10 5 7 1 36 45 22 47 4 41 29 12 34 3 37 49 32 19 6 21 33 18 24 26 48 15 8 38 11 31 20 14 35 42 2 9 43 25 13 27 44 17 28 
0 29 21 15 2 25 14 47 24 7 13 4 23 41 38 26 27 6 20 31 8 17 34 22 42 11 30 9 33 35 28 10 32 46 48 18 16 36 3 43 19 12 1 39 37 5 40 49 44 45 
0 17 20 41 45 26 23 1 10 25 14 37 9 4 8 18 3 42 16 13 6 24 47 28 15 22 39 33 35 30 5 44 40 12 7 11 43 38 49 31 2 29 27 32 36 21 46 34 19 48 
47 38 24 39 49 1 28 48 46 2 7 31 42 25 10 14 13 44 41 40 19 33 20 21 37 5 36 15 17 45 12 8 0 16 29 34 27 23 22 32 18 43 35 26 9 4 11 3 6 30 
46 10 41 44 0 42 29 13 24 19 3 39 36 15 28 38 25 43 18 27 30 11 16 31 14 45 21 2 20 7 40 8 32 49 22 47 4 1 5 26 17 9 37 48 6 33 12 35 34 23 
0 46 9 41 21 45 11 3 26 40 47 27 18 30 48 39 42 20 14 17 1 31 35 33 7 49 5 32 44 34 4 10 6 22 13 24 8 29 38 43 2 28 15 23 25 16 36 37 12 19 
0 45 5 17 9 15 21 35 23 28 44 3 42 6 36 49 43 4 31 39 38 16 27 47 30 46 34 11 13 2 41 24 18 37 1 26 22 12 8 29 40 19 32 7 48 25 10 14 20 33 
19 4 24 41 6 43 34 33 25 1 32 9 38 2 16 11 22 14 13 0 37 40 29 5 46 20 42 12 26 21 3 36 31 17 23 8 39 44 10 28 15 47 18 35 7 49 48 30 27 45 
28 24 42 10 49 2 20 6 46 5 25 17 21 1 23 45 4 34 15 36 0 40 12 48 41 9 22 44 29 7 8 32 26 27 19 13 11 18 35 43 47 31 14 3 30 38 39 16 37 33 
35 45 31 21 9 6 46 7 37 5 32 26 11 47 23 22 2 41 29 4 17 43 34 3 42 20 36 27 18 14 16 10 40 13 49 0 38 33 30 8 19 12 25 28 15 1 24 39 44 48 
46 22 39 26 44 24 30 35 41 6 19 20 45 23 3 34 4 37 42 29 38 49 28 1 21 16 32 15 9 48 18 36 17 13 5 47 33 40 25 7 14 27 2 43 31 8 0 12 10 11 
36 28 11 13 35 3 4 12 1 43 26 7 5 37 15 2 29 40 48 8 31 6 18 22 23 24 17 49 32 44 45 14 16 10 27 21 46 19 33 9 41 20 30 47 34 25 0 39 42 38 
0 5 37 34 48 23 1 38 7 16 9 12 10 45 13 2 30 39 40 4 28 29 17 14 47 20 44 41 11 33 18 22 24 15 21 27 32 25 49 36 35 31 19 3 46 42 6 26 43 8 
28 25 38 20 35 40 27 37 30 47 36 32 11 49 41 23 26 33 7 22 6 45 0 44 16 4 12 10 18 1 42 14 3 8 34 19 21 43 39 2 17 46 29 9 15 5 48 24 31 13 
22 41 26 20 21 35 31 48 40 45 5 9 17 1 7 32 12 46 24 25 27 36 0 8 39 15 3 49 19 44 14 13 16 42 28 47 34 10 11 4 30 33 18 23 43 29 2 38 37 6 
32 15 24 25 13 27 6 41 26 49 44 35 29 42 21 20 22 5 9 43 30 14 8 34 40 47 12 2 3 28 11 19 38 16 17 7 23 31 0 48 1 37 45 4 36 33 39 46 18 10 
26 39 8 35 29 32 19 43 23 36 2 21 11 12 15 42 44 4 13 18 37 25 16 40 9 7 0 22 24 14 3 47 20 30 6 38 48 33 41 34 27 5 45 10 46 28 49 1 31 17 
43 23 7 24 39 16 45 48 36 46 21 47 4 49 30 29 3 35 40 41 12 10 28 26 20 37 8 33 22 18 6 19 27 15 1 13 25 2 11 32 42 9 17 44 0 38 5 31 14 34 
0 4 12 41 22 21 30 2 14 34 27 25 43 40 7 47 45 42 37 17 20 49 1 44 19 9 39 8 28 6 38 3 36 29 10 35 24 16 32 18 46 31 15 33 5 13 23 48 26 11 
0 2 38 6 22 23 5 40 1 44 29 46 16 35 4 37 15 42 9 7 41 39 13 17 18 24 14 49 10 25 12 47 48 36 28 11 43 34 31 33 3 27 32 26 8 21 20 19 30 45 
33 37 20 23 47 24 19 17 41 15 40 12 36 3 4 2 10 29 0 28 34 13 7 16 48 14 1 45 6 43 9 31 8 42 49 32 5 39 21 27 22 25 26 38 11 18 46 44 35 30 
3 22 15 35 34 9 13 2 28 16 8 12 42 46 27 37 1 43 26 14 18 0 19 7 40 4 21 23 6 32 10 33 5 48 29 41 45 31 24 17 11 44 49 20 36 38 30 47 25 39 
19 13 6 47 12 48 39 18 4 2 8 3 23 27 11 10 45 38 14 32 5 1 43 30 17 0 34 46 29 22 31 7 28 36 15 40 49 16 37 25 9 41 33 21 44 24 35 42 20 26 
45 49 15 14 23 36 25 8 37 16 6 33 27 29 7 48 5 13 2 19 11 1 24 43 46 17 40 18 0 9 44 12 26 21 47 35 10 38 32 3 20 41 31 39 22 42 30 34 4 28 
31 5 9 25 37 3 28 12 22 44 10 8 45 29 16 13 33 30 11 1 35 4 41 32 39 40 34 47 24 14 36 0 18 42 20 2 6 17 21 49 48 7 27 23 19 26 43 15 38 46 
30 47 31 22 0 29 14 8 17 19 6 46 43 20 32 3 49 9 12 13 2 41 18 16 40 36 7 10 35 1 37 26 24 11 28 23 15 4 25 5 38 42 33 48 39 34 44 27 45 21 
29 2 0 44 31 37 38 41 42 25 45 16 10 28 49 14 48 1 46 34 13 12 9 24 5 40 3 23 26 21 30 17 33 19 22 11 39 43 32 4 8 6 7 47 15 35 18 27 36 20 
0 45 26 27 33 39 1 11 10 31 46 24 19 2 40 30 29 41 8 43 37 6 18 9 35 48 3 16 14 22 42 12 47 23 44 4 5 25 49 34 20 28 38 36 17 32 21 7 13 15 
0 34 16 25 8 11 36 32 17 12 3 1 44 48 14 38 30 9 22 19 46 49 40 2 33 21 26 7 42 23 35 15 13 18 27 31 24 28 47 6 41 45 20 4 5 39 29 37 43 10 
32 2 35 4 37 0 24 13 33 36 42 40 31 49 16 9 10 38 11 44 34 6 43 45 26 3 17 23 46 39 14 41 15 21 25 1 5 22 48 20 7 18 29 47 12 27 28 19 30 8 
36 47 25 5 21 19 17 27 9 1 38 35 10 30 49 45 18 42 32 39 34 0 22 8 33 4 13 23 44 11 6 2 37 7 24 12 14 26 15 41 43 46 16 29 40 20 3 48 28 31 
7 8 0 21 18 45 17 2 36 37 9 15 4 49 38 12 34 30 43 25 10 19 3 16 23 48 39 24 41 32 28 29 11 47 20 42 13 44 22 6 27 26 40 46 31 33 14 1 5 35 
0 40 34 38 18 31 3 6 33 46 12 7 30 1 28 39 29 25 11 9 49 19 13 44 35 48 10 41 47 14 26 15 36 42 2 45 23 16 27 37 24 22 4 21 32 17 43 20 8 5 
47 33 3 21 38 11 23 13 2 30 45 32 40 44 24 0 31 41 25 16 15 9 14 19 17 28 6 7 18 12 27 35 48 22 37 5 49 26 46 29 1 34 10 39 43 4 42 20 8 36 
35 14 20 36 7 46 15 39 40 44 4 41 21 33 28 0 27 19 18 26 11 8 10 34 12 6 25 1 9 5 32 47 17 22 24 38 49 23 29 31 2 3 30 48 37 45 13 16 42 43 
0 24 21 3 14 27 48 7 16 13 47 19 28 20 44 45 22 8 43 17 37 10 9 40 46 11 1 42 2 26 12 41 38 32 31 34 33 36 18 30 5 39 35 25 49 23 6 15 4 29 
27 34 35 39 19 29 9 44 16 2 32 46 15 41 8 48 4 5 36 6 33 12 45 14 18 17 7 3 37 38 21 25 49 28 10 1 26 22 23 0 30 11 43 24 40 31 13 42 20 47 
38 42 46 41 13 3 27 22 19 21 43 2 12 40 0 11 4 45 37 23 25 30 6 36 16 26 1 48 18 5 29 14 24 7 44 10 28 32 31 15 47 49 33 9 8 17 34 39 20 35 
0 18 10 40 32 20 31 29 46 4 14 11 2 24 3 23 8 48 7 42 37 12 16 6 47 22 43 5 36 21 25 35 26 9 17 13 15 27 45 38 39 19 1 41 30 44 49 34 33 28 
16 36 42 12 44 0 40 28 10 34 41 47 8 33 11 7 32 2 6 5 17 15 45 43 37 19 18 46 39 48 1 9 21 27 14 20 25 30 31 23 38 49 24 35 13 4 29 26 22 3 
20 15 22 37 23 11 29 0 1 19 46 12 6 33 42 44 45 3 43 2 18 24 17 13 40 9 28 31 47 14 30 32 5 41 48 4 8 34 16 35 10 49 26 25 38 36 21 39 7 27 
0 2 49 12 32 34 40 35 11 37 42 13 17 20 7 3 25 1 41 15 4 19 30 28 8 18 23 26 45 6 21 10 47 16 46 14 36 43 31 27 9 24 39 44 29 33 22 5 38 48 
43 1 41 25 21 22 4 26 47 2 9 39 24 48 49 0 13 29 16 17 8 36 37 5 20 18 38 10 33 34 45 14 19 23 30 28 35 3 42 11 46 31 40 15 32 6 12 27 44 7 
27 39 47 38 2 24 7 35 15 28 3 37 8 31 33 18 16 32 20 46 9 10 6 11 49 1 22 0 45 17 5 30 23 40 4 43 42 14 25 29 44 34 13 21 12 48 41 36 26 19 
22 16 42 43 13 2 28 36 1 44 17 12 40 33 27 23 11 34 31 46 39 15 18 8 37 6 14 9 3 25 26 0 48 47 20 5 24 30 45 38 35 4 19 7 10 29 41 49 21 32 
0 7 23 39 19 45 1 31 13 28 46 9 16 35 21 10 12 27 47 49 17 8 22 42 11 41 43 5 36 20 40 3 14 18 15 30 29 34 37 33 25 26 6 24 32 44 2 38 4 48 
0 13 43 38 8 7 46 35 1 9 18 30 42 36 34 4 10 39 29 49 33 12 37 48 41 14 31 19 47 17 21 5 2 15 22 27 40 32 3 6 24 45 11 25 20 44 16 28 23 26 
24 3 19 22 6 10 0 40 49 5 26 1 30 36 29 23 16 21 45 47 7 15 12 33 42 27 14 2 9 39 25 18 38 17 11 41 4 31 20 37 43 35 13 48 34 32 28 44 8 46 
27 48 37 35 31 39 43 29 44 6 34 22 21 5 23 45 4 26 9 49 24 17 42 46 33 2 40 36 3 20 16 47 11 12 14 28 7 18 32 41 0 10 1 13 38 30 25 15 8 19 
0 26 22 2 1 14 37 45 46 43 13 5 27 38 21 47 42 48 19 9 20 7 24 39 10 40 28 17 23 41 34 31 49 30 36 29 35 15 8 3 6 11 4 18 25 12 32 44 16 33 
1 31 5 29 37 20 25 4 13 8 7 14 2 10 49 23 12 30 38 24 27 19 35 3 43 32 33 21 45 48 47 28 44 39 15 26 46 42 34 16 17 36 6 18 11 41 9 40 22 0 
37 28 49 1 7 40 39 3 2 35 23 11 5 43 8 9 26 33 47 48 29 46 18 21 6 14 4 19 30 31 25 36 13 34 22 45 12 0 32 27 17 38 44 10 42 41 16 24 15 20 
10 36 9 3 7 44 0 1 11 25 28 23 41 8 4 37 38 33 13 22 17 39 30 47 12 35 26 5 42 6 24 2 14 32 46 49 43 16 18 40 27 31 21 15 29 45 19 48 34 20 
24 44 3 36 26 1 2 6 9 40 38 47 27 19 46 21 39 23 15 37 41 13 8 30 17 12 20 16 22 14 28 32 10 4 5 48 18 7 34 29 42 49 31 11 33 25 45 43 0 35 
6 13 15 28 5 4 0 3 35 48 16 29 42 1 9 2 30 23 7 14 45 39 34 21 47 41 32 24 22 18 36 8 26 44 17 20 31 49 10 46 19 12 37 11 33 40 25 38 27 43 
0 43 10 31 12 46 2 4 37 29 5 26 30 11 27 40 41 20 34 24 7 39 15 38 14 44 49 35 22 36 48 16 47 19 23 6 17 8 45 18 9 28 32 21 42 3 1 25 33 13 
46 11 32 14 12 22 20 17 48 39 36 31 2 47 29 0 43 49 41 42 4 40 7 21 5 25 3 6 16 27 26 44 35 33 24 37 19 10 23 8 1 13 9 38 34 30 15 28 18 45 
0 14 18 12 44 34 22 10 19 11 7 15 46 32 48 49 24 9 28 20 21 42 26 29 38 35 1 8 41 6 25 3 31 5 27 23 43 37 33 13 45 4 2 36 40 30 16 47 39 17 
45 40 3 21 7 11 49 16 18 42 31 1 5 38 15 37 23 24 8 14 28 20 17 22 30 4 47 19 25 36 33 26 6 12 46 13 29 2 43 44 39 48 27 35 10 41 34 32 9 0 
23 37 18 32 33 29 11 12 35 10 19 6 7 49 22 31 8 24 44 13 46 5 47 0 26 9 27 30 39 14 25 43 45 36 20 48 4 21 28 41 34 15 16 40 3 38 1 17 42 2 
27 18 37 35 7 44 6 0 32 46 5 9 33 26 47 10 38 41 42 28 13 29 14 39 1 24 8 4 16 2 34 12 48 21 36 19 11 31 15 25 3 49 20 22 23 17 40 45 30 43 
32 20 35 6 23 27 11 28 12 5 2 4 49 7 16 38 9 15 47 26 46 45 13 41 22 3 48 44 8 24 37 14 0 19 43 1 33 10 21 34 17 36 29 25 31 18 40 30 42 39 
5 21 35 18 7 0 47 45 17 36 8 2 32 22 15 38 12 1 46 29 10 6 49 16 3 31 24 14 4 13 26 41 11 30 23 28 34 27 39 19 25 9 37 48 33 44 40 42 43 20 
16 4 45 5 21 19 3 22 0 1 27 35 11 30 10 44 32 8 9 13 24 38 42 48 39 34 17 31 49 41 20 15 26 36 47 40 14 43 28 7 12 25 18 23 6 46 2 33 37 29 
0 43 37 41 32 12 44 9 31 21 1 28 15 23 27 30 35 25 26 7 2 17 11 6 49 45 38 22 24 5 16 20 36 8 42 14 18 40 47 10 29 33 34 48 19 3 46 39 4 13 
1 0 15 20 32 14 18 5 38 34 7 3 46 48 6 30 4 16 11 2 41 49 25 45 27 39 37 28 36 44 22 42 47 35 19 21 40 29 26 10 33 23 43 8 13 12 24 17 9 31 
0 47 15 35 3 4 38 43 14 46 22 27 39 1 33 20 34 5 25 7 28 24 44 19 41 2 13 32 8 30 18 10 21 37 17 11 48 26 49 9 23 12 36 6 45 31 42 40 29 16 
0 4 17 5 43 49 35 27 29 6 24 36 15 45 14 22 9 23 1 47 34 30 16 25 21 12 13 33 20 32 26 19 44 2 7 42 41 40 8 10 18 37 38 3 48 39 31 11 46 28 
0 34 28 16 6 32 24 23 22 15 29 31 35 17 3 5 47 26 14 12 19 9 7 42 4 44 27 21 13 40 45 37 18 46 38 39 10 25 49 30 20 36 43 2 33 11 8 41 1 48 
17 8 26 11 16 2 42 43 29 30 35 36 7 41 44 18 25 22 32 12 40 37 21 47 0 48 34 19 13 14 5 23 28 27 6 20 3 24 45 38 39 31 10 9 4 1 33 49 46 15 
0 35 24 41 11 32 44 28 40 1 3 2 10 34 9 42 17 13 5 12 15 22 30 29 39 31 38 14 7 25 16 20 26 33 27 19 6 4 23 47 21 37 46 49 48 8 18 45 43 36 
0 13 34 19 14 24 31 21 28 37 20 18 27 1 9 25 41 45 5 35 12 48 6 47 22 44 32 40 49 26 33 16 36 23 4 46 3 39 10 42 17 29 11 43 8 38 7 15 30 2 
12 42 48 20 14 8 39 47 36 26 4 15 1 43 22 7 16 23 13 21 27 2 17 3 24 10 37 46 44 31 30 45 34 19 6 5 25 35 38 40 28 32 9 33 29 41 49 18 11 0 
37 36 17 25 1 6 39 44 26 33 41 14 35 45 8 5 42 49 13 24 15 20 10 43 30 27 4 47 34 9 21 12 11 32 31 16 3 0 19 29 46 38 2 23 18 40 28 22 48 7 
0 35 20 1 39 19 43 27 42 33 46 6 36 7 5 13 8 17 11 24 44 3 22 45 16 47 18 48 25 9 14 4 15 23 21 40 37 49 32 12 26 28 29 31 10 30 41 2 38 34 
25 24 22 18 48 44 42 30 1 21 9 7 26 5 6 19 37 10 34 35 28 12 23 13 4 0 15 31 43 2 27 20 32 47 45 14 41 40 49 17 39 16 38 11 3 33 8 29 46 36 
0 15 49 39 5 20 42 24 46 27 23 12 18 36 2 17 14 10 33 8 6 47 28 4 38 7 34 3 13 19 41 22 35 31 26 1 30 37 44 40 29 48 32 25 16 11 45 9 21 43 
43 38 46 13 18 20 49 31 23 4 22 0 32 5 45 19 29 34 33 40 42 17 6 27 8 47 21 14 15 9 26 30 3 12 28 16 39 41 10 44 48 2 25 7 37 1 11 24 35 36 
34 19 32 46 37 9 47 38 27 10 2 48 18 6 45 17 3 5 28 25 24 22 33 11 13 40 26 15 14 23 0 31 43 21 12 41 8 16 35 4 44 39 1 20 30 29 49 7 36 42 
38 0 25 47 44 26 42 12 21 39 28 46 31 11 3 48 14 8 4 34 1 5 19 20 15 30 40 13 41 35 32 22 33 6 29 10 16 23 37 9 17 49 45 18 43 24 27 2 36 7 
0 20 30 10 33 26 32 22 9 24 35 28 47 36 19 4 41 14 42 3 15 38 8 2 16 31 45 12 18 5 1 21 48 13 17 40 43 7 6 37 27 11 49 29 39 46 44 25 23 34 
14 49 10 34 3 46 33 21 27 11 36 8 23 45 0 18 12 40 48 6 44 13 42 1 22 19 26 32 38 5 9 17 29 15 24 16 31 7 4 35 25 28 47 37 30 20 43 39 2 41 
36 12 24 47 49 32 35 21 18 10 37 44 11 7 41 28 6 45 1 20 16 43 26 23 8 2 17 42 38 25 0 14 46 31 15 48 30 3 29 34 13 39 22 19 9 33 5 40 27 4 
5 14 30 44 7 9 34 46 41 45 19 0 33 11 26 16 1 6 39 8 21 4 36 22 20 24 37 12 13 17 47 43 28 32 40 10 18 25 38 15 27 29 23 48 3 2 49 31 42 35 
0 44 5 45 43 19 4 13 39 6 34 36 33 40 10 14 35 49 2 42 37 23 7 30 22 18 21 38 8 32 16 24 17 15 11 25 9 31 12 41 3 29 47 48 27 28 26 46 20 1 
48 18 26 22 29 33 1 4 25 47 30 2 14 32 0 44 39 34 6 37 20 10 17 38 9 42 11 13 7 45 15 49 28 27 16 36 43 40 3 35 41 31 19 23 5 8 46 21 12 24 
8 44 27 19 33 10 36 4 0 12 22 46 48 13 5 34 49 47 3 25 35 40 6 31 37 38 26 17 18 7 30 20 41 11 42 29 32 14 16 15 9 23 45 39 28 1 2 43 24 21 
44 20 25 10 23 15 24 42 18 27 38 2 40 35 13 32 3 41 5 4 14 22 8 33 48 26 49 7 46 37 28 31 0 6 21 34 11 17 29 16 9 30 39 12 47 19 1 43 45 36 
0 13 45 20 8 18 31 15 49 25 47 44 43 30 6 10 1 42 46 27 34 2 32 41 14 24 5 4 38 22 28 48 23 19 35 39 9 12 7 29 11 3 21 16 33 40 37 26 17 36 
0 17 36 35 18 15 27 1 7 30 31 3 11 29 14 13 47 21 12 41 44 8 24 20 32 43 9 2 5 10 4 25 42 46 26 38 45 39 16 49 19 34 22 6 23 37 28 40 33 48 
0 22 31 19 7 42 44 32 21 10 2 12 24 26 11 6 40 16 27 33 5 37 13 18 45 15 48 1 17 14 25 9 34 43 28 47 46 39 41 29 20 23 49 4 36 38 8 3 35 30 
32 0 34 6 2 22 43 40 19 39 45 4 16 15 30 35 17 11 38 36 31 9 41 23 49 7 13 29 21 27 12 10 33 44 18 1 26 47 20 3 8 25 46 37 14 48 24 28 42 5 
0 27 24 46 15 7 31 17 41 40 33 23 1 9 39 48 3 22 18 45 16 19 47 13 4 14 43 8 42 20 36 35 30 25 37 34 2 11 21 26 12 38 49 10 32 28 6 44 29 5 
25 44 42 8 2 20 14 47 7 4 9 30 38 34 26 3 16 29 32 0 21 10 19 46 12 35 43 28 5 11 31 45 22 48 13 18 33 15 17 24 40 1 6 27 41 23 49 39 36 37 
43 25 24 9 4 8 3 39 19 41 1 47 5 14 21 27 36 31 44 6 11 20 12 33 16 2 22 28 32 10 7 38 48 37 17 23 40 26 34 35 13 29 45 0 30 15 42 46 49 18 
27 21 7 17 1 22 12 34 11 26 46 39 29 4 19 13 49 16 15 3 23 48 20 44 47 38 25 24 43 42 9 45 31 35 6 28 32 10 37 0 41 18 33 5 14 30 36 2 40 8 
35 2 31 48 10 34 27 39 1 25 26 0 14 20 5 22 4 37 3 11 8 38 7 9 47 46 19 13 40 49 29 41 36 6 33 24 30 23 32 12 18 21 17 42 15 28 44 45 43 16 
27 40 39 7 2 24 22 19 3 5 21 32 49 28 45 14 30 38 34 43 35 13 36 10 47 15 17 0 29 1 44 46 16 23 6 18 25 12 20 42 9 33 41 48 11 37 4 31 8 26 
45 49 33 43 0 10 48 39 42 14 8 24 27 41 29 4 32 34 25 16 46 35 30 13 47 22 12 6 36 2 26 15 20 17 9 31 3 5 21 40 28 37 19 38 44 23 18 7 1 11 
0 23 30 31 37 28 1 5 7 3 11 4 48 26 29 14 49 9 44 32 36 10 21 46 24 34 8 17 22 18 20 33 47 15 35 39 25 6 40 19 13 27 42 16 12 41 43 45 38 2 
49 39 0 33 7 10 37 29 32 2 45 20 21 35 40 25 46 43 16 47 1 12 42 38 18 48 31 11 15 6 5 8 14 22 34 24 4 3 13 26 17 19 28 30 9 41 27 23 36 44 
47 23 19 10 44 27 43 37 1 15 29 2 9 5 30 48 45 12 21 33 17 36 38 46 0 6 42 8 35 18 11 13 41 32 20 26 16 34 3 40 25 31 39 14 49 24 4 28 22 7 
13 24 15 37 16 14 9 32 28 19 49 2 33 0 44 6 26 27 39 29 10 34 4 36 21 18 5 46 3 41 23 25 7 17 11 47 43 12 40 45 48 31 38 8 35 22 1 42 20 30 
43 4 37 2 17 6 18 25 13 8 9 38 15 26 49 32 11 29 3 20 48 47 21 19 39 34 16 23 30 12 31 5 45 33 22 1 44 10 40 14 7 28 27 36 0 46 24 42 41 35 
16 20 31 42 10 44 32 22 49 3 19 18 39 38 13 37 28 34 0 24 29 25 35 47 46 41 11 9 27 1 8 7 5 23 6 12 17 14 45 26 33 40 21 15 4 48 43 2 36 30 
33 24 15 28 32 20 41 40 47 29 34 27 25 19 14 39 21 11 23 8 10 36 30 49 0 7 5 42 44 48 46 2 9 1 18 45 6 37 12 26 4 3 31 16 22 13 17 38 43 35 
36 33 13 8 14 10 47 5 28 0 42 19 11 16 40 9 32 30 2 21 41 15 12 37 4 49 18 35 6 27 26 31 38 23 45 29 25 1 44 43 48 3 39 7 20 46 24 34 22 17 
26 31 45 40 32 41 0 9 28 19 7 29 12 30 1 23 4 16 18 2 27 13 49 47 11 15 42 48 33 35 21 10 39 25 14 44 22 38 24 34 43 37 3 46 6 5 36 20 17 8 
45 16 48 20 19 29 30 39 34 43 40 18 22 23 37 46 17 25 15 13 1 33 42 14 8 24 38 12 9 10 32 49 41 47 5 7 44 26 35 21 36 2 3 11 6 0 27 4 31 28 
0 48 12 19 29 4 2 9 43 31 28 10 46 3 1 7 45 14 38 18 33 6 35 44 8 27 11 21 36 5 32 41 40 13 16 17 34 37 22 24 42 47 25 39 26 20 23 49 15 30 
