authors,year,source,title,journal,doi,excl_lang,excl_orig,excl_age,excl_clin,excl_fmri,excl_sem,exc_glm,excl_whole,excl_space,excl_within,verdict,age_mean,age_max,comment,task,corresponding,mail,contacted,status
"Fan, L.-Y.; Lo, Y.-C.; Hsu, Y.-C.; Chen, Y.-J.; Tseng, W.-Y.I.; Chou, T.-L.",2020,databases,Developmental Differences of Structural Connectivity and Effective Connectivity in Semantic Judgments of Chinese Characters,Frontiers in Human Neuroscience,https://doi.org/10.3389/fnhum.2020.00233,0,0,0,0,0,0,0,0,0,0,include,9.8,12,NaN,visual related vs. unrelated chinese characters,NaN,NaN,NaN,NaN
"Gaillard, W. D.; Pugliese, M.; Grandin, C. B.; Braniecki, S. H.; Kondapaneni, P.; Hunter, K.; Xu, B.; Petrella, J. R.; Balsamo, L.; Basso, G.",2001,manually,Cortical localization of reading in normal children: An fMRI language study,Neurology,https://doi.org/10.1212/WNL.57.1.47,0,0,0,0,0,0,0,0,0,0,include,10.2,13,NaN,visually naming to description,NaN,NaN,NaN,NaN
"Gaillard, W.D.; Sachs, B.C.; Whitnah, J.R.; Ahmad, Z.; Balsamo, L.M.; Petrella, J.R.; Braniecki, S.H.; McKinney, C.M.; Hunter, K.; Xu, B.; Grandin, C.B.",2003,databases,Developmental aspects of language processing: fMRI of verbal fluency in children and adults,Human Brain Mapping,https://doi.org/10.1002/hbm.10091,0,0,0,0,0,0,0,0,0,0,include,10.2,14,NaN,covert word generation given a category,NaN,NaN,NaN,NaN
"Horowitz-Kraus, Tzipi; Grainger, Molly; DiFrancesco, Mark; Vannest, Jennifer; Holland, Scott K.",2015,databases,Right is not always wrong: DTI and fMRI evidence for the reliance of reading comprehension on language-comprehension networks in the right hemisphere,Brain Imaging and Behavior,https://doi.org/10.1007/s11682-014-9341-9,0,0,0,0,0,0,0,0,0,0,include,8.5,9,NaN,sentence–picture matching,NaN,NaN,NaN,NaN
"Kersey, A.J.; Clark, T.S.; Lussier, C.A.; Mahon, B.Z.; Cantlon, J.F.",2016,databases,Development of tool representations in the dorsal and ventral visual object processing pathways,Cerebral Cortex,https://doi.org/10.1093/cercor/bhv140,0,0,0,0,0,0,0,0,0,0,include,6.6,8,NaN,visual matching (tools vs. faces + numbers + words),NaN,NaN,NaN,NaN
"Krishnan, Saloni; Leech, Robert; Mercure, Evelyne; Lloyd-Fox, Sarah; Dick, Frederic",2015,manually,Convergent and Divergent fMRI Responses in Children and Adults to Increasing Language Production Demands,Cerebral Cortex,https://doi.org/10.1093/cercor/bhu120,0,0,0,0,0,0,0,0,0,1,obtained,9.73,12,NaN,visual object naming,Dr Saloni Kirshnan,Saloni.Krishnan@rhul.ac.uk,14/09/2020,obtained
"Krishnan, Saloni; Smith, Harriet J; Willis, Hannah; Bishop, Dorothy V. M.; Watkins, Kate E.",2021,manually,Functional organisation for verb generation in children with developmental language disorder,NeuroImage,https://doi.org/10.1016/j.neuroimage.2020.117599,0,0,0,0,0,0,0,0,0,0,include,12.1,15,NaN,"overt verb generation (e.g. ""ball"" -> ""kick"")",Dr Saloni Kirshnan,Saloni.Krishnan@rhul.ac.uk,14/09/2020,published
"Lee, S.-H.; Booth, J.R.; Chen, S.-Y.; Chou, T.-L.",2011,databases,Developmental changes in the inferior frontal cortex for selecting semantic representations,Developmental Cognitive Neuroscience,https://doi.org/10.1016/j.dcn.2011.01.005,0,0,0,0,0,0,0,0,0,0,include,12.8,15,NaN,auditory and visual word–word relatedness judgment,NaN,NaN,NaN,NaN
"Lee, S.-H.; Booth, J.R.; Chou, T.-L.",2016,databases,Temporo-parietal connectivity uniquely predicts reading change from childhood to adolescence,NeuroImage,https://doi.org/10.1016/j.neuroimage.2016.06.055,0,0,0,0,0,0,0,0,0,0,include,10.1,11,both age groups are in the range -> use conjunction across groups,visual word–word relatedness judgment,NaN,NaN,NaN,NaN
"Libertus, M.E.; Brannon, E.M.; Pelphrey, K.A.",2009,databases,Developmental changes in category-specific brain responses to numbers and letters in a working memory task,NeuroImage,https://doi.org/10.1016/j.neuroimage.2008.10.027,0,0,0,0,0,0,0,0,0,0,include,8.67,9,NaN,two-back working memory task (letters vs. digits vs. faces),NaN,NaN,NaN,NaN
"Liebig, J.; Froehlich, E.; Morawetz, C.; Braun, M.; Jacobs, A.M.; Heekeren, H.R.; Ziegler, J.C.",2017,databases,Neurofunctionally dissecting the reading system in children,Developmental Cognitive Neuroscience,https://doi.org/10.1016/j.dcn.2017.07.002,0,0,0,0,0,0,0,0,0,0,include,11.1,13,NaN,visual word living vs. non-living judgment,NaN,NaN,NaN,NaN
"Mathur, A.; Schultz, D.; Wang, Y.",2020,databases,Neural Bases of Phonological and Semantic Processing in Early Childhood,Brain connectivity,https://doi.org/10.1089/brain.2019.0728,0,0,0,0,0,0,0,0,0,0,include,6.55,7,NaN,visual word–word relatedness judgment,NaN,NaN,NaN,NaN
"Meyler, Ann; Keller, Timothy A.; Cherkassky, Vladimir L.; Gabrieli, John D. E.; Just, Marcel Adam",2008,manually,Modifying the Brain Activation of Poor Readers during Sentence Comprehension with Extended Remedial Instruction: A Longitudinal Study of Neuroplasticity,Neuropsychologia,https://doi.org/10.1016/j.neuropsychologia.2008.03.012,0,0,0,0,0,0,0,0,0,1,obtained,10.8,NaN,NaN,visual sentence acceptability judgment,Prof Marcel Adam Just,just@cmu.edu,14/09/2020,obtained
"Monzalvo, Karla; Fluss, Joel; Billard, Catherine; Dehaene, Stanislas; Dehaene-Lambertz, Ghislaine",2012,manually,Cortical networks for vision and language in dyslexic and normal children of variable socio-economic status,NeuroImage,https://doi.org/10.1016/j.neuroimage.2012.02.035,0,0,0,0,0,0,0,0,0,0,include,9.6,10,NaN,viewing checkerboards vs. houses vs. faces vs. words,NaN,NaN,NaN,NaN
"Moore-Parks, E.N.; Burns, E.L.; Bazzill, R.; Levy, S.; Posada, V.; Müller, R.-A.",2010,databases,An fMRI study of sentence-embedded lexical-semantic decision in children and adults,Brain and Language,https://doi.org/10.1016/j.bandl.2010.03.009,0,0,0,0,0,0,0,0,0,0,include,8.79,10,NaN,auditory description–definition task,NaN,NaN,NaN,NaN
"Okamoto, Y.; Kosaka, H.; Kitada, R.; Seki, A.; Tanabe, H.C.; Hayashi, M.J.; Kochiyama, T.; Saito, D.N.; Yanaka, H.T.; Munesue, T.; Ishitobi, M.; Omori, M.; Wada, Y.; Okazawa, H.; Koeda, T.; Sadato, N.",2017,databases,Age-dependent atypicalities in body- and face-sensitive activation of the EBA and FFA in individuals with ASD,Neuroscience Research,https://doi.org/10.1016/j.neures.2017.02.001,0,0,0,0,0,0,0,0,0,0,include,11.3,NaN,NaN,viewing faces vs. non-face body parts,NaN,NaN,NaN,NaN
"Passarotti, Alessandra M.; Paul, Brianna M.; Bussiere, Joseph R.; Buxton, Richard B.; Wong, Eric C.; Stiles, Joan",2003,manually,The development of face and location processing: an fMRI study,Developmental Science,https://doi.org/10.1111/1467-7687.00259,0,0,0,0,0,0,0,0,0,0,include,NaN,12,NaN,visual face matching vs. location matching vs. control,NaN,NaN,NaN,NaN
"Schafer, R.J.; Lacadie, C.; Vohr, B.; Kesler, S.R.; Katz, K.H.; Schneider, K.C.; Pugh, K.R.; Makuch, R.W.; Reiss, A.L.; Constable, R.T.; Ment, L.R.",2009,databases,Alterations in functional connectivity for language in prematurely born adolescents,Brain,https://doi.org/10.1093/brain/awn353,0,0,0,0,0,0,0,0,0,1,obtained,12.2,NaN,NaN,visual word–word relatedness judgment,Dr Robin J. Schafer,rschafer01@gmail.com,31/08/2020,obtained
"Scherf, K.S.; Behrmann, M.; Humphreys, K.; Luna, B.",2007,databases,"Visual category-selectivity for faces, places and objects emerges along different developmental trajectories",Developmental Science,https://doi.org/10.1111/j.1467-7687.2007.00595.x,0,0,0,0,0,0,0,0,0,0,include,7.2,8,NaN,viewing of movies with faces vs. places vs. objects,NaN,NaN,NaN,NaN
"Scherf, Suzanne K.; Luna, B.; Minshew, N.; Behrmann, M.",2010,databases,"Location, location, location: Alterations in the functional topography of face- but not object-or place-related cortex in adolescents with autism",Frontiers in Human Neuroscience,https://doi.org/10.3389/fnhum.2010.00026,0,0,0,0,0,0,0,0,0,0,include,12.4,14,NaN,viewing of movies with faces vs. places vs. objects,NaN,NaN,NaN,NaN
"Siok, W.T.; Perfetti, C.A.; Jin, Z.; Tan, L.H.",2004,databases,Biological abnormality of impaired reading is constrained by culture,Nature,https://doi.org/10.1038/nature02865,0,0,0,0,0,0,0,0,0,0,include,11.1,12,NaN,visual lexical judgment on chinese characters (words vs. non-words),NaN,NaN,NaN,NaN
"Skeide, M.A.; Brauer, J.; Friederici, A.D.",2014,databases,Syntax gradually segregates from semantics in the developing brain,NeuroImage,https://doi.org/10.1016/j.neuroimage.2014.05.080,0,0,0,0,0,0,0,0,0,0,include,7.42,7,has two groups in the age range,sentence–picture matching (with plausible vs. implausible sentences),NaN,NaN,NaN,NaN
"Szaflarski, J.P.; Schmithorst, V.J.; Altaye, M.; Byars, A.W.; Ret, J.; Plante, E.; Holland, S.K.",2006,databases,A longitudinal functional magnetic resonance imaging study of language development in children 5 to 11 years old,Annals of Neurology,https://doi.org/10.1002/ana.20817,0,0,0,0,0,0,0,0,0,0,include,6,11,NaN,"covert verb generation (e.g. ""ball"" -> ""kick"")",NaN,NaN,NaN,NaN
"Vannest, J.; Szaflarski, J.P.; Eaton, K.P.; Henkel, D.M.; Morita, D.; Glauser, T.A.; Byars, A.W.; Patel, K.; Holland, S.K.",2012,databases,Functional magnetic resonance imaging reveals changes in language localization in children with benign childhood epilepsy with centrotemporal spikes,Journal of Child Neurology,https://doi.org/10.1177/0883073812447682,0,0,0,0,0,0,0,0,0,0,include,9.2,14,dont' use the story processing task,"auditory animal–""has four legs"" decision",NaN,NaN,NaN,NaN
"Wong, C.-H.; Gau, S.S.-F.; Chou, T.-L.",2019,databases,Neural correlates of association strength and categorical relatedness in youths with autism spectrum disorder,Autism Research,https://doi.org/10.1002/aur.2184,0,0,0,0,0,0,0,0,0,0,include,11.9,NaN,NaN,visual word–word relatedness judgment,NaN,NaN,NaN,NaN
"Wu, C.-Y.; Vissiennon, K.; Friederici, A.D.; Brauer, J.",2016,databases,Preschoolers' brains rely on semantic cues prior to the mastery of syntax during sentence comprehension,NeuroImage,https://doi.org/10.1016/j.neuroimage.2015.10.036,0,0,0,0,0,0,0,0,0,0,include,5.5,5,NaN,auditory sentence comprehension (with plausible vs. implausible sentences),NaN,NaN,NaN,NaN
"Xue, G.; Dong, Q.; Jin, Z.; Zhang, L.; Wang, Y.",2004,databases,An fMRI study with semantic access in low proficiency second language learners,NeuroReport,https://doi.org/10.1097/00001756-200404090-00010,0,0,0,0,0,0,0,0,0,0,include,11.6,12,use only the native language conditions,visual word–word relatedness judgment,NaN,NaN,NaN,NaN
"Aboud, K.S.; Barquero, L.A.; Cutting, L.E.",2018,databases,Prefrontal mediation of the reading network predicts intervention response in dyslexia,Cortex,https://doi.org/10.1016/j.cortex.2018.01.009,0,0,0,0,0,0,0,0,0,1,contacted,10.1,14,NaN,visual word vs. pseudoword judgment,Dr Laurie E. Cutting,laurie.cutting@Vanderbilt.Edu,31/08/2020,sent
"Altarelli, I.; Monzalvo, K.; Iannuzzi, S.; Fluss, J.; Billard, C.; Ramus, F.; Dehaene-Lambertz, G.",2013,databases,A functionally guided approach to the morphometry of occipitotemporal regions in developmental dyslexia: Evidence for differential effects in boys and girls,Journal of Neuroscience,https://doi.org/10.1523/JNEUROSCI.5854-12.2013,0,0,0,0,0,0,0,0,0,1,contacted,10.8,NaN,NaN,viewing faces vs. houses vs. words vs. tools vs. checkerboards,Dr Irene Altarelli,irene.altarelli@u-paris.fr,31/08/2020,received
"Baillieux, H.; Vandervliet, E.J.M.; Manto, M.; Parizel, P.M.; Deyn, P.P.D.; Mariën, P.",2009,databases,Developmental dyslexia and widespread activation across the cerebellar hemispheres,Brain and Language,https://doi.org/10.1016/j.bandl.2008.10.001,0,0,0,0,0,0,0,0,0,1,contacted,11.9,12,NaN,"covert verb generation (e.g. ""ball"" -> ""kick"")",Prof Dr P. De Deyn,p.p.de.deyn@umcg.nl,31/08/2020,sent
"Blumenfeld, H.K.; Booth, J.R.; Burman, D.D.",2006,databases,Differential prefrontal-temporal neural correlates of semantic processing in children,Brain and Language,https://doi.org/10.1016/j.bandl.2005.07.004,0,0,0,0,0,0,0,0,0,1,contacted,10.7,11,peaks only for signficant correlations with accuracy,auditory and visual two-word–one-word relatedness judgment,Dr James R. Booth,james.booth@vanderbilt.edu,31/08/2020,received
"Booth, J.R.; Burman, D.D.; Van Santen, F.; Harasaki, Y.; Gitelman, D.R.; Parrish, T.B.; Mesulam, M.M.",2001a,databases,Developmental differences in brain systems for reading,Hrvatska Revija Za Rehabilitacijska Istrazivanja,NaN,0,0,0,0,0,0,0,0,0,1,contacted,ask,12,open data at https://openneuro.org/datasets/ds002236/versions/1.1.0,visual two-word–one-word relatedness judgment,Dr James R. Booth,james.booth@vanderbilt.edu,31/08/2020,received
"Cantlon, J.F.; Pinel, P.; Dehaene, S.; Pelphrey, K.A.",2011,databases,"Cortical representations of symbols, objects, and faces are pruned back during early childhood",Cerebral Cortex,https://doi.org/10.1093/cercor/bhq078,0,0,0,0,0,0,0,0,0,1,contacted,4.9,5,NaN,viewing faces vs. letters vs. numbers vs. shoes vs. scrambled,Prof Jessica F. Cantlon,jcantlon@andrew.cmu.edu,14/09/2020,sent
"Chiu, C.-Y. Peter; Schmithorst, Vincent J.; Brown, Rhonda Douglas; Holland, Scott K.; Dunn, Scott",2006,manually,Making Memories: A Cross-Sectional Investigation of Episodic Memory Encoding in Childhood Using fMRI,Developmental Neuropsychology,https://doi.org/10.1207/s15326942dn2902_3,0,0,0,0,0,0,0,0,0,1,contacted,7.3,8,NaN,"covert verb generation (e.g. ""ball"" -> ""kick"")",Prof Vincent J. Schmithorst,vincent.schmithorst@chp.edu,15/09/2020,sent
"Croft, Louise J.; Baldeweg, Torsten; Sepeta, Leigh; Zimmaro, Lauren; Berl, Madison M.; Gaillard, William D.",2014,manually,Vulnerability of the ventral language network in children with focal epilepsy,Brain,https://doi.org/10.1093/brain/awu154,0,0,0,0,0,0,0,0,0,1,contacted,9.06,12,NaN,auditory description–definition task,Prof Torsten Baldeweg,t.baldeweg@ucl.ac.uk,14/09/2020,sent
"Dehaene-Lambertz, G.; Monzalvo, K.; Dehaene, S.",2018,databases,The emergence of the visual word form: Longitudinal evolution of category-specific ventral visual areas during reading acquisition,PLoS Biology,https://doi.org/10.1371/journal.pbio.2004103,0,0,0,0,0,0,0,0,0,1,contacted,6.2,6,NaN,viewing houses vs. tools vs. faces vs. bodies vs. words vs. numbers,Dr Ghislaine Dehaene-Lambertz,ghislaine.dehaene@cea.fr,31/08/2020,sent
"Dekker, T.; Mareschal, D.; Sereno, M.I.; Johnson, M.H.",2011,databases,Dorsal and ventral stream activation and object recognition performance in school-age children,NeuroImage,https://doi.org/10.1016/j.neuroimage.2010.11.005,0,0,0,0,0,0,0,0,0,1,contacted,6.9,7,NaN,viewing tools + objects vs. scrambled images and tools vs. animals,Dr Tessa Dekker,t.dekker@ucl.ac.uk ,31/08/2020,received
"Gathers, A.D.; Bhatt, R.; Corbly, C.R.; Farley, A.B.; Joseph, J.E.",2004,databases,Developmental shifts in cortical loci for face and object recognition,NeuroReport,https://doi.org/10.1097/01.wnr.0000133299.84901.86,0,0,0,0,0,0,0,0,0,1,contacted,8.3,11,NaN,viewing faces vs. fruits vs. tools ,Dr Jane E. Joseph,josep@musc.edu,31/08/2020,sent
"Gebauer, Daniela; Fink, Andreas; Kargl, Reinhard; Reishofer, Gernot; Koschutnig, Karl; Purgstaller, Christian; Fazekas, Franz; Enzinger, Christian",2012,manually,Differences in Brain Function and Changes with Intervention in Children with Poor Spelling and Reading Abilities,PLOS ONE,https://doi.org/10.1371/journal.pone.0038201,0,0,0,0,0,0,0,0,0,1,contacted,12.3,15,NaN,visual word vs. pseudoword judgment,Assoz. Univ.-Prof Mag. Dr Andreas Fink,andreas.fink@uni-graz.at,14/09/2020,sent
"James, T.W.; James, K.H.",2013,databases,Expert individuation of objects increases activation in the fusiform face area of children,NeuroImage,https://doi.org/10.1016/j.neuroimage.2012.11.007,0,0,0,0,0,0,0,0,0,1,contacted,10.3,12,NaN,viewing Pokemon characters vs. objects vs. faces,Prof T. W. James,thwjames@indiana.edu,31/08/2020,sent
"Jiang, Ping; Tokariev, Maksym; Aronen, Eeva T.; Salonen, Oili; Ma, YuanYe; Vuontela, Virve; Carlson, Synnöve",2014,manually,Responsiveness and functional connectivity of the scene-sensitive retrosplenial complex in 7–11-year-old children,Brain and Cognition,https://doi.org/10.1016/j.bandc.2014.10.005,0,0,0,0,0,0,0,0,0,1,contacted,NaN,11,NaN,visual 1-back task with faces vs. scenes,Prof Synnöve Carlson,synnove.carlson@aalto.fi,14/09/2020,sent
"Joseph, J.E.; Swearingen, J.E.; Clark, J.D.; Benca, C.E.; Collins, H.R.; Corbly, C.R.; Gathers, A.D.; Bhatt, R.S.",2012,databases,The changing landscape of functional brain networks for face processing in typical development,NeuroImage,https://doi.org/10.1016/j.neuroimage.2012.08.021,0,0,0,0,0,0,0,0,0,1,contacted,ask,12,NaN,viewing faces vs. objects,"Jane E. Joseph, Ph.D.",josep@musc.edu,31/08/2020,sent
"Lee, S.-H.; Booth, J.R.; Chou, T.-L.",2015,databases,Developmental changes in the neural influence of sublexical information on semantic processing,Neuropsychologia,https://doi.org/10.1016/j.neuropsychologia.2015.05.001,0,0,0,0,0,0,0,0,0,1,contacted,ask,12,"ask for coordinates from the younger and older groups, respectively",visual word–word relatedness judgment,Prof Tai-Li Chou,tlchou25@ntu.edu.tw,31/08/2020,sent
"Liu, L.; Tao, R.; Wang, W.; You, W.; Peng, D.; Booth, J.R.",2013,databases,Chinese dyslexics show neural differences in morphological processing,Developmental Cognitive Neuroscience,https://doi.org/10.1016/j.dcn.2013.06.004,0,0,0,0,0,0,0,0,0,1,contacted,11.7,13,ask for coordinates for semantic vs. baseline/phonology,visual words–words relatedness judgment,Dr James R. Booth,james.booth@vanderbilt.edu,31/08/2020,received
"Liu, L.; Wang, W.; You, W.; Li, Y.; Awati, N.; Zhao, X.; Booth, J.R.; Peng, D.",2012,databases,Similar alterations in brain function for phonological and semantic processing to visual characters in Chinese dyslexia,Neuropsychologia,https://doi.org/10.1016/j.neuropsychologia.2012.05.026,0,0,0,0,0,0,0,0,0,1,contacted,11.6,13,NaN,visual word–word relatedness judgment,Dr James R. Booth,james.booth@vanderbilt.edu,31/08/2020,received
"Lussier, C.A.; Cantlon, J.F.",2017,databases,Developmental bias for number words in the intraparietal sulcus,Developmental Science,https://doi.org/10.1111/desc.12385,0,0,0,0,0,0,0,0,0,1,contacted,8.6,9,NaN,"visual word size judgment (""bigger or smaller than a cat?"" and category judgment ""living or non-living?"")",Prof Jessica F. Cantlon,jcantlon@andrew.cmu.edu,31/08/2020,sent
"Maril, A.; Avital, R.; Reggev, N.; Zuckerman, M.; Sadeh, T.; Sira, L.B.; Livneh, N.",2011,databases,Event congruency and episodic encoding: A developmental fMRI study,Neuropsychologia,https://doi.org/10.1016/j.neuropsychologia.2011.07.004,0,0,0,0,0,0,0,0,0,1,contacted,9.9,11,NaN,visual word–colour congruency judgment,Prof Anat Maril,anat.maril@mail.huji.ac.il,31/08/2020,sent
"Meissner, T.W.; Nordt, M.; Weigelt, S.",2019,databases,Prolonged functional development of the parahippocampal place area and occipital place area,NeuroImage,https://doi.org/10.1016/j.neuroimage.2019.02.025,0,0,0,0,0,0,0,0,0,1,contacted,7.46,8,NaN,"visual one-back task with scenes, objects, and rectangles",Dr Tobias W. Meißner,tobias.meissner@rub.de,31/08/2020,sent
"Moulton, E.; Bouhali, F.; Monzalvo, K.; Poupon, C.; Zhang, H.; Dehaene, S.; Dehaene-Lambertz, G.; Dubois, J.",2019,databases,Connectivity between the visual word form area and the parietal lobe improves after the first year of reading instruction: a longitudinal MRI study in children,Brain Structure and Function,https://doi.org/10.1007/s00429-019-01855-3,0,0,0,0,0,0,0,0,0,1,contacted,6.2,7,NaN,viewing houses vs. faces vs. words vs. tools,Prof Eric Moulton,eric.moulton.jr@gmail.com,31/08/2020,sent
"Nuñez, S. Christopher; Dapretto, Mirella; Katzir, Tami; Starr, Ariel; Bramen, Jennifer; Kan, Eric; Bookheimer, Susan; Sowell, Elizabeth R.",2011,manually,fMRI of syntactic processing in typically developing children: Structural correlates in the inferior frontal gyrus,Developmental Cognitive Neuroscience,https://doi.org/10.1016/j.dcn.2011.02.004,0,0,0,0,0,0,0,0,0,1,contacted,11.1,15,NaN,auditory two-sentence meaning similarity judgment,Prof Elizabeth R. Sowell-Crowell,esowell@chla.usc.edu,14/09/2020,sent
